role,education_degree,salary,jobs,Summary,detail,skills,qualifications
Consultant ,"Bachelor of Engineering, Bachelor in Business Administration, Bachelor in Economics",76651 per year,"364,000+",Consultants are independent workers who use their expertise to help clients solve problems. Businesses often hire consultants to save on the cost of recruiting and training a full-time employee. Consultants have expertise in a particular field and can bring a fresh perspective to a company. Examples of consultant job duties and responsibilities include: ,Improving a particular component of a client's business such as marketing or sales. Helping businesses improve their processes increase productivity and generate more revenue. Offering advice and recommendations on processes and resource allocation. Developing strategic planning with upper-level management and company executives. Developing written marketing plans designed to generate sales and improve brand awareness ,Oracle.  Oracle EBS.  SQL.  Java.  .NET.  PeopleSoft.  XML.  J2EE.  PL/SQL.  Salesforce.  EDI.  Software Deployment ,Epic Certification. ITIL Certification. PMP. LPC. MCSE. BCBA. CISSP. Six Sigma Certification. PMI-ACP. MCITP. Marriage & Family Therapy Certification 
Occupational Therapist ,"Bachelor in Biology, Bachelor in Psychology, Bachelor in Sociology, Bachelor in Kinesiology, Bachelor in Health Science",44.78 per hour  ,"30,000+",Occupational therapists assist disabled chronically ill and seriously injured patients with everyday activities. They help patients relearn and increase the skills they need to live and work independently. Occupational therapists typically perform the following tasks: ,Review medical histories and observe patients' activities. Develop treatments that include activities to perform methods to use and goals to reach. Show patients how to perform activities and some guide patients through exercises by manipulating their limbs or bodies. Suggest ways to improve their home or work environments.  Work closely with patients' families and caregivers especially when assisting pediatric or elderly patients. Ensure that their patients are improving successfully Use handheld devices and computers to track data and goals,Pediatrics Experience.  Home Care.  HIPAA.  Early Intervention.  Computer Literacy.  Acute Care.  Patient Service Experience.  Autism Experience.  Medicare.  Body Mechanics.  Communication Skills.  Heavy Lifting ,Occupational Therapy License. OTR. COTA. CPR Certification. BLS Certification. Occupational Therapy Assistant License. AHA Certification. Physical Therapy License. Physician Assistant License. First Aid Certification. Emergency Nursing Pediatric Course 
Electrical Engineer ,"Bachelor in Electrical Engineering, Bachelor in Communications Engineering",86578 per year  ,"29,000+",Electrical engineers design and test electrical systems and equipment. They may specialize in motors navigation systems or car and airplane systems. Electrical engineers are responsible for the following tasks: ,Create and test designs for electrical products and systems. Create designs for new products or improved versions of existing products. Develop prototypes so they can test their designs and resolve potential problems. Oversee the production and installation of designs. Direct the production process and confirm that the final products meet manufacturing codes and other required specifications. Collaborate with project managers,Electrical Engineering.  Programmable Logic Controllers.  AutoCAD.  System Design.  NEC.  PCB.  Revit.  LabView.  Lighting Design.  FPGA.  CAD.  Firmware ,Professional Engineer. LEED Certification. RCDD. Fundamentals of Engineering. HDI Certification. NABCEP Certification. PMP. Six Sigma Certification. National Institute for Certification in Engineering Technologies. IPC-610 Certification. BICSI Certification 
Auditor ,"Bachelor in Business Administration (with emphasis in Accounting and/or Finance), Bachelor in Economics",63774 per year  ,"35,000+",An auditor is a finance professional who prepares and examines financial records ensuring that records are accurate and individuals or businesses paid their taxes properly and on time. The auditor's main responsibility is to assess financial operations and help ensure that organizations are running efficiently. Auditors are also responsible for monitoring daily claims activities to identify instances when businesses don't meet obligations or where a facility has under- or over-performed based on the contract requirements. Some additional responsibilities of an auditor can include: ,Computing taxes owed and preparing tax returns. Inspecting accounting books and systems for efficiency and proper accounting procedures. Using existing auditing platforms to analyze claims and ensure proper funds for each claim. Working with the compliance manager to ensure they bill and administer claims in accordance with health insurance requirements and legal framework. Identifying persistent claims error trends and reporting those trends to management. Suggesting ways to reduce costs improve accounting systems and work more efficiently ,CPT Coding.  Medical Coding.  Accounting.  ICD-10.  Bookkeeping.  SOX.  Internal Audits.  Workers' Compensation Law.  Auditing.  Medicare.  Time Management.  Microsoft Excel ,Certified Coding Specialist. Certified Professional Coder. Certified Internal Auditor. CPA. Certified Information Systems Auditor. RHIT. RHIA. Medical Coding Certification. Certified Fraud Examiner. CCDS. AHIMA. Clinical Documentation Certification 
MRI Technician ,"Bachelor in Radiography, Bachelor in Radiologic Sciences",38.18 per hour,"26,000+","Magnetic resonance imaging technicians manage the medical machines that produce three-dimensional images of patients' organs and tissues. MRI technicians work closely with radiologists who read the images to diagnose internal issues of the chest, lungs, brain, spinal cord, joints and more. Other MRI technician responsibilities might include:",Injecting a special dye into the patient that allows the images to appear on the scanner. Maintaining the imaging equipment. Taking patients' medical histories and keeping records up to date. Explaining the procedure to patients and answering questions. Preparing and positioning patients for scans. Using proper safety methods. Operating the MRI equipment under the doctor's instruction and supervision to image parts of the body. Working with doctors and radiologists to read images ,Medical Imaging.  Anatomy Knowledge.  Physiology Knowledge.  Spectroscopy.  Conflict Management.  Experience Administering Injections.  Hospital Experience.  Cardiac Catheterization.  Basic Life Support.  Acute Care.  Computer Skills.  Quality Control ,ARRT Certification. ARRT (MR) Certification. MRI Certification. ARRT (R) Certification. BLS Certification. CPR Certification. AHA Certification. IV Certification. Radiology Certification. X-Ray Certification. Emergency Nursing Pediatric Course. ARRT (CT) Certification 
Legal Secretary ,"Bachelor or Associate Degree in Law, Criminal Justice, Paralegal Studies, Legal Assistance, Legal Support Services, and Public Administration",45859 per year ,"50,000+",A legal secretary also called legal assistant works in law offices or organizations to provide administrative research and organizational support to lawyers and paralegals. While legal secretaries perform some standard secretarial duties they spend most of their time performing tasks that are specific to the law field. Other responsibilities of legal secretaries include the following: ,Preparing correspondence to various parties. Transcribing and proofreading legal documents including briefs motions pleadings and subpoenas. Maintaining docket control systems to track legal filing deadlines. Creating and populating spreadsheets. Updating and indexing pleadings and discovery binders. Scheduling meetings closing hearings site inspections and depositions. Drafting correspondence and routine legal documents such as legal invoices and deposition notices. Assisting legal research and communicating with lawyers experts vendors opposing counsel and other staff ,Typing.  Personal Injury Law.  Filing.  Litigation.  Transcription.  Legal Drafting.  Proofreading.  Microsoft Outlook.  Office Experience.  Paralegal.  Microsoft Word.  Administrative Experience ,Certified Notary Public. Paralegal Certificate. Class D. Certified Court Reporter. Non-CDL Class C. NALS Certification. Certified Project Manager. MCSD. CEH. PMP. Six Sigma Certification 
Civil Engineer ,Bachelor in Civil Engineering,80261 per year  ,"25,000+",Civil engineers supervise and design major public construction projects. They also ensure project feasibility by evaluating their budget demands and design practicality. Other tasks a civil engineer may perform include: ,Communicating with a wide range of clients suppliers subcontractors and architects. Resolving any issues that occur in the design and development processes. Overseeing the purchase of necessary equipment and materials. Ensuring projects meet health and safety regulations as well as any other legal requirement. Evaluating a project's sustainability and environmental impact. Completing public projects on time and within the imposed budget ,AutoCAD.  Wastewater.  Construction Experience.  MicroStation.  CAD.  Autodesk.  Technical Writing.  Project Engineering.  Calculus.  Communication Skills.  GIS.  HEC ,Professional Engineer. Fundamentals of Engineering. LEED Certification. Non-CDL Class C. Hazardous Waste Operations & Emergency Response Training. PMP. ACI Certification. MCSE. OSHA 30. Certified Welding Inspector. PMI Certification 
Physician Assistant ,Medical Degree in Biology,104805 per year,"31,000+",The relationship between the physician and the physician assistant complements and encourages the delivery of superb levels of patient care. A physician assistant requires an advanced level of education that mirrors the education of a physician. To practice as a physician assistant you must be certified and licensed by your state. This means the PA can care for patients with substantial freedom. Some of their primary duties include:,Performing physical examinations. Taking the patient's medical history. Ordering laboratory tests scans and X-rays and interpreting the results. Diagnosing illnesses and conditions. Prescribing medicines. Providing counseling to patients. Supporting surgical staff during procedures. Setting fractures. Stitching wounds ,Suturing.  Primary Care Experience.  Workers' Compensation Law.  EMR Systems.  Botox Experience.  Dermal Fillers.  Pain Management.  Occupational Health Experience.  Medical Imaging.  Physical Examinations.  Physiology Knowledge.  Acute Care ,Physician Assistant License. PA-C. DEA Certification. ACLS Certification. BLS Certification. ATLS Certification. BC/BE. Certified Nurse Practitioner. PALS Certification. X-Ray Certification. CPR Certification. AHA Certification 
Marketing Specialist ,"Bachelor in Marketing, Bachelor in Business Administration (with emphasis in Marketing)",47463 per year ,"32,000+",A marketing specialist is part of the marketing team and assists in developing and executing campaigns to gain prospective customers and increase sales. A marketing specialist is also responsible for the following:,Manage the company websites and social media accounts. Ensure consistent branding across digital and traditional channels. Work closely with the sales team to develop effective campaigns. Lead generation†. Competitive analysis ,Marketing.  Email Marketing.  Marketing Automation.  Pardot.  Responsys.  MailChimp.  Digital Marketing.  HubSpot.  Social Media Management.  HTML5.  Google Analytics.  Salesforce Marketing Cloud ,Google AdWords Certification. CPCU. Google Analytics Certification. Non-CDL Class C. Real Estate License. Physician Assistant License. Real Estate Broker. Certified Scrum Master. MTA. Childcare Certification. Series 6 
Construction Engineer ,"Bachelor in Construction Engineering, Bachelor in Civil Engineering",80636 per year  ,"28,000+",A construction engineer is a civil engineer who oversees the design and implementation of large building projects. They also assist in maintaining infrastructure systems such as roads dams water supply systems and buildings. They work with a team of fellow engineers and construction crews to organize and complete projects. Other responsibilities could include:,Developing construction project budgets. Gathering resources including employees tools machines and physical materials. Operating machinery and using tools. Using computer software to plan and design projects. Overseeing progress and safety on construction sites ,Construction Experience.  Tile Laying.  Siding.  Carpentry.  Oracle.  Power Tools.  Concrete Forming.  Hand Tools.  Frame Carpentry.  Painting.  Excavator.  Drywall Experience ,OSHA 10. CDL. CDL A. OSHA 30. CDL B. TWIC Card. NCCER Certification. ACI Certification. Confined Space Certification. National Institute for Certification in Engineering Technologies. Tanker Endorsement 
Administrative Officer ,"Bachelor in Business Administration, Bachelor in Human Resources",64426 per year  ,"52,000+",Administrative officers work within health care environments setting policies supervising department heads and managing the budget for the facility. They may work independently or as part of a team to ensure the hospital or health care system is using the most effective and efficient practices to deliver the best possible care to patients. Some of the specific responsibilities for the administrative officer include: ,Hiring and managing staff. Setting department or hospital goals overseeing finances and developing schedules and budgets. Ensuring the organization's policies and procedures align with current laws. Communicating with management as well as a board of directors. Examining current care standards and implementing new ways to provide quality care ,Administrative Experience.  Human Resources.  Budgeting.  Fiscal Management.  Military Experience.  Microsoft Access.  Financial Management.  Business Management.  Word Processing.  Project Management Software.  Strategic Planning.  Employee Evaluation ,CDL C. Registered Dietitian. CTFA. Lean Six Sigma Certification. CPA. Series 7. Certified Notary Public. CFP. Non-CDL Class C. Certified Purchasing Manager. CompTIA Security+ 
Physical Therapist ,"Bachelor in Health Sciences, Bachelor in Biology, Bachelor in Psychology",1339 per week ,"32,000+","A physical therapist, or PT, helps an injured or ill person improve their mobility and manage their pain. These medical professionals help people optimize their quality of life following an injury or illness. They work with patient mobility through hands-on care. Sometimes, a physical therapist may create a treatment plan to preempt a loss of mobility. Some of their primary duties include:",Restore motor function. Prevent future disability. Help people recover after an injury or surgery. Work with patients to develop a treatment plan. Treat chronic illness through exercise plans ,Home Care.  Pediatrics Experience.  HIPAA.  Patient Service Experience.  Workers' Compensation Law.  Acute Care.  Computer Literacy.  Physiology Knowledge.  Communication Skills.  EMR Systems.  Medicare.  Early Intervention ,Physical Therapy License. CPR Certification. BLS Certification. AHA Certification. Physician Assistant License. Certified Valuation Analyst. COTA. Certified Athletic Trainer. Licensed Physical Therapy Assistant. OTR. First Aid Certification 
Outside Sales Representative ,Bachelor in Business Administration (with emphasis in Sales),71180 per year,"31,000+",An outside sales representative meets and sells to customers in the field. While a general sales representative may communicate primarily over the phone or through the internet an outside sales representative spends the majority of their time holding in-person meetings with customers. Those in this position are generally responsible for the following tasks: ,Scheduling and conducting face-to-face meetings with potential clients or customers. Monitoring and reaching sales goals as set by the sales team leader. Networking and maintaining strong relationships with previous customers. Highlighting the most appealing product or service features to sell to customers. Developing customer service skills ,Outside Sales.  Sales Experience.  B2B Sales.  CRM Software.  Negotiation.  Cold Calling.  Time Management.  Territory Sales.  Territory Management.  Salesforce.  Business Development.  Account Management ,Doubles/Triples Endorsement. Life Insurance License. Firearms License. HDI Certification. Real Estate License. Non-CDL Class C. Cosmetology License. Property & Casualty License. TWIC Card. MLO. Pest Control License 
Web Designer ,"Bachelor in Computer Science, Bachelor in Graphic Design, Bachelor in Computer Engineering",22.49¬†per hour,"28,000+",Web designers develop functional and appealing websites for individuals businesses and government agencies. They use knowledge of computer programming and graphic design to create websites that meet client needs. Some of their primary duties include:,Meet with clients to assess their needs. Identify what kind of information clients need to convey online and how they want the site to appear. Code websites using computer programming languages. Work on larger teams with graphic designers media creators and computer programmers. Create more specialized elements such as animations or e-commerce portals. Integrate all required elements into a cohesive website,Web Design.  CSS.  WordPress.  HTML5.  PHP.  Adobe Photoshop.  Adobe Dreamweaver.  JavaScript.  Adobe Illustrator.  Web Development.  Responsive Web Design.  Layout Design ,MCSD. IAT. IAT Level II. MTA. Educator License With Stipulations. GCED. CompTIA Security+. Professional Educator License. Class D. CompTIA Advanced Security Practitioner. CompTIA Server+ 
DevOps Engineer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",120672 per year  ,"31,000+",A DevOps (development operations) engineer facilitates communication between the developmental and operational sides in software development. A DevOps engineer makes it easier for the two sides to share feedback to make a more streamlined process which decreases the time required for development. Responsibilities that a DevOps engineer might perform include: ,Possessing a thorough understanding of the goals and responsibilities for both the development and operational teams. Assisting in the planning and development of new coding to implement new systems. Overseeing the release of new features from development to employees to ensure that software is reliable when cleared for use. Monitoring the security of new builds to assess any potential holes that could lead to security threats,DevOps.  Jenkins.  Terraform.  Chef.  Docker.  Ansible.  CI/CD.  Puppet.  Kubernetes.  AWS.  Continuous Integration.  Ruby ,RHCSA. CompTIA Security+. RHCE. GSEC. SSCP. CCNA Security. IAT. CompTIA Cloud+. CompTIA Linux+. CCNA. CompTIA Advanced Security Practitioner. MCSE 
Analyst ,"Bachelor in Business Administration, Bachelor in Economics, Bachelor of Engineering",65261 per year  ,"310,000+",Analysts give guidance to businesses government entities and individuals on financial and business decisions. An analyst collects data on business performance and develops statistical reports. They identify areas of improvement and create a recommended plan to streamline processes. They review business efficiencies by: ,Determining which data needs tracking to reflect business performance. Using statistical methods to collect data across business sectors. Measuring the effectiveness of business strategies. Writing easy-to-interpret reports. Developing a plan to improve operational processes. Working with the management team to implement changes ,Data Management.  Intelligence Experience.  Intelligence Community Experience.  Relational Databases.  R.  ArcGIS.  Application Development.  GIS.  Data Collection.  Computer Networking.  Python.  Analysis Skills ,Epic Certification. CEH. GCIA. GCIH. SANS GIAC. CompTIA Security+. CISSP. IAT. IAT Level II. GSEC. SSCP. GREM 
Speech Therapist ,"Bachelor in Health Sciences, Bachelor in Biology, Bachelor in Psychology",45.93 per hour  ,"23,000+",Speech therapists assess diagnose and treat speech language social communication cognitive-communication and swallowing disorders in children and adults. Speech therapists may do a combination of the following tasks: ,Diagnose and treat patients in a clinical setting. Work with teachers to treat children at schools†. Collaborate with other therapists counselors social workers and others in order to care for patients. Teach parents and families how to practice therapy strategies at home. Teach sign language to non-verbal patients. Train and supervise other personnel,Speech Therapy.  Pediatrics Experience.  Home Care.  Patient Service Experience.  Assistive Technologies.  Experience Working With Students.  HTTPS.  Acute Care.  Time Management.  Autism Experience.  Phone Etiquette.  Interpretation ,Certificate of Clinical Competence in Speech-Language Pathology. Certificate of Clinical Competence in Audiology. AHA Certification. Professional Educator License. CPR Certification. Teaching Certification. BLS Certification. Physician Assistant License. OTR. COTA. PA-C 
Data Architect ,"Bachelor in Computer Science, Bachelor in Computer Engineering",134302 per year¬† ,"28,000+",Data architects help companies manage store and secure their data. They work with upper-level management computer engineers and other relevant professionals to assess data needs and create systems that help a company optimize its data. Data architect duties include: ,Evaluating current databases and architecture to plan what changes upgrades and improvements they need to make. Creating models and plans for database structures. Coding and designing databases. Ensuring all data is secure. Ensuring data structures comply with all local state federal and industry standards and regulations. Monitoring database and setting up feedback systems to refine and constantly improve. Writing and establishing procedures for database management. Researching new techniques software and products that could improve a company's data-related functions. Working with marketing teams to create models before product launches ,Data Warehouse.  Apache Hive.  Hadoop.  Data Modeling.  Spark.  Apache Pig.  Big Data.  NoSQL.  Redshift.  Teradata.  Informatica.  Kafka ,TOGAF Certification. MCSD. IAT Level I. Certified Dental Assistant. IAT. MTA. SSCP. MCSE. ITIL Certification. CompTIA A+. CompTIA Network+. CCNA Security 
Architect ,Bachelor in Architecture,110444 per year  ,"21,000+",Architects develop plans for homes offices and other types of structures. They can design both indoor and outdoor spaces working on private projects or public jobs. They're tasked with translating the client's ideas into a three-dimensional construction that will meet all of the project's specifications. An architect's plans include all elements of the building including HVAC systems electrical wiring door and window placement appliance placement and more. An architect's responsibilities include: ,Meeting with clients and assessing the project's purpose requirements and budget. Providing cost estimates approximate timelines and services such as site selection and environmental impact studies. Developing construction plans which include scaled drawings and structure specifications using computer-aided design and drafting building information modeling or hand drawings. Drafting and negotiating construction contracts. Assisting clients as they collect construction bids and choose contractors. Visiting construction sites to make sure contractors are following the architectural plans accurately ,Pegasystems.  Oracle.  Solution Architecture.  Service-Oriented Architecture.  J2EE.  Spring.  Java.  APIs.  .NET.  Adobe Experience Manager.  Hybris.  SOAP ,LEED Certification. TOGAF Certification. Architecture License. National Council of Architectural Registration Board Certification. CISSP. CISM. CCIE. Certified Athletic Trainer. CEH. CSSLP. MCSD. ISTQB Certification 
Sales Representative ,Bachelor in Business Administration (with emphasis in Sales),60073 per year,"214,000+",A sales representative uses strong customer service and communication skills to sell goods or services. They should maintain a strong understanding of their company's products to highlight features and increase sales. Additional responsibilities for this position include: ,Meeting or exceeding sales goals. Negotiating and closing sales contracts. Understanding and educating consumers on product features. Handling payments and closing transactions. Completing daily weekly and monthly sales reports ,Sales Experience.  Outside Sales.  B2B Sales.  Negotiation.  Medicare.  Customer Service.  Retail Sales.  Cold Calling.  Time Management.  Territory Management.  Upselling.  Product Demos ,ASE Parts Specialist Certification. Life Insurance License. Motorcycle License. Property & Casualty License. Real Estate License. ASE Certification. Registered Pharmacist. Certified Arborist. FINRA License. CDL. Series 6 
Software Engineer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",105323 per year,"147,000+",Software engineers develop systems and software for businesses. These products range from business applications and games to network control systems and operating systems. A software engineer's responsibilities may also include: ,Working with users to determine their software needs. Designing developing and testing a system or application according to the users' specifications. Drawing diagrams and models that help developers create the appropriate code for the system or application. Documenting the system or application in detail to help those responsible for future maintenance. Maintaining the system or application with updates and fixes as necessary. Recommending software upgrades for existing systems or applications. Collaborating with developers and other engineers to create software ,C/C++.  Software Development.  C#.  Java.  OOP.  Data Structures.  .NET.  JavaScript.  Go.  Spring.  React.  Distributed Systems ,CompTIA Security+. MCSD. IAT. CCNA Security. IAT Level II. SSCP. GSEC. CISSP. Certified Scrum Master. CCNA. CSSLP. Certified Benefits Professional 
Recruiter ,"Bachelor in Human Resource, Bachelor in Communications",48704 per year,"121,000+",Recruiters are responsible for identifying and processing desirable candidates to fill job openings. These human resources specialists screen and interview candidates serve as liaisons between employers and applicants and facilitate job offers. Recruiters typically handle the following tasks: ,Identify candidates†using their research skills and their network of connections. Post listings for published resumes that match the skill set they need. Identify candidates in person via industry networking events. Attend job fairs. Interview applicants over the phone via video or in person. Assess whether candidates meet employers' needs and contact references to learn more about the applicants' skills and backgrounds. Recommend qualified candidates to employers. Communicate with candidates and employers to reach agreements regarding job titles salary benefits and other terms of the job offer,Recruiting.  HR Sourcing.  ATS.  Human Resources.  Interviewing.  Taleo.  Talent Acquisition.  Earned Value Management.  Sourcing.  Sales Experience.  Negotiation.  Microsoft Outlook ,Professional In Human Resources. SHRM Certified Professional. SHRM Senior Certified Professional. Senior Professional in Human Resources. Real Estate License. Certified Court Reporter. PMP. Teaching Certification. RN. CDL A. CDL 
Nurse ,Bachelor of Nursing,33.73 per hour  ,"160,000+",Nurses are highly-trained healthcare professionals who provide care support treatment and advocacy for patients. They play a vital role in hospitals clinics nursing homes and in the community. Nurses can work with many different patients from newborn babies to the elderly. They treat sick people and work with healthy individuals to assist with education and promotion of healthy lifestyles. Depending on the specialty of the nurse and the organization they work for there is a wide range of responsibilities they may have and duties they could perform including: ,Monitoring and observing patient health and vital signs. Performing diagnostic tests. Operating medical devices. Dispensing medications and treatments as necessary. Taking medical histories from patients. Providing advice and education about health and well-being and how to manage illnesses. Creating plans for patient care in collaboration with the medical team. Assisting doctors in performing medical procedures ,Dermal Fillers.  Nursing.  Botox Experience.  Medication Administration.  Critical Care Experience.  Acute Care.  Hospital Experience.  EMR Systems.  ICU Experience.  Home Care.  Experience Administering Injections.  Tube Feeding ,RN. LPN. MICN Certification. BLS Certification. CFRN. LVN. ACLS Certification. CPR Certification. TNCC Certification. PALS Certification. Certified Emergency Nurse. AHA Certification 
Speech Pathologist ,"Bachelor in Communication Sciences, Bachelor in Education and Development, Bacholor in Psychology",42.57 per hour,"19,000+",Speech pathologists work with people who have communication disorders or have difficulty speaking or swallowing. They diagnose and treat speech issues caused by conditions such as stroke hearing loss cleft palate developmental disorders like autism brain trauma and nervous system disorders like Parkinsons. Communication challenges might range from a complete inability to speak to stuttering or pitch issues. Some speech pathologists specialize in certain groups of patients such as children or the elderly or specific conditions. Speech pathologist responsibilities might include: ,Evaluating and diagnosing patients' language disorders. Administrative duties such as recording-keeping and billing. Creating a treatment plan for each individual. Teaching patients how to make sounds form words and speak correctly. Teaching muscle-building exercises to help patients speak and swallow better. Advising patients' families on how to handle communication disorders. Performing routine follow-up exams and monitoring patients' progress. Collaborating with other professionals such as doctors therapists psychologists teachers and counselors. Hosting group programs and classroom activities for individuals or students with similar conditions ,Pediatrics Experience.  Speech Therapy.  Interviewing.  Early Intervention.  Computer Literacy.  Organizational Skills.  Communication Skills.  Childhood Development.  Home Care.  Acute Care.  Autism Experience.  Special Education ,Certificate of Clinical Competence in Speech-Language Pathology. Professional Educator License. CPR Certification. Teaching Certification. Physician Assistant License. BLS Certification. AHA Certification. Certificate of Clinical Competence in Audiology. Certified Diabetes Educator. SLPA License. MCSD 
Mechanical Engineer ,Bachelor in Mechanical Engineering,81764 per year  ,"23,000+",A mechanical engineer main role is to design build and test thermal and mechanical devices. Their services are very diverse and are typically related to all parts of the planning and execution processes. Other tasks a mechanical engineer may perform include: ,Studying various issues and determining how mechanical and thermal devices can act as solutions for those issues. Analyzing equipment malfunctions identifying the faulty operations and recommending solutions. Designing mechanical and thermal devices that are suitable for particular tasks using computer design software. Using the created designs to develop prototypes. Continuously testing mechanical and thermal devices and adjusting their parameters according to the test results. Supervising the entire manufacturing process of any thermal or mechanical device from early planning to full functionality ,Mechanical Engineering.  HVAC Design.  SolidWorks.  Mechanical Design.  CAD.  Mechanical Knowledge.  Creo.  Autodesk Inventor.  AutoCAD.  FEA.  System Design.  ASME Codes & Standards ,LEED Certification. Professional Engineer. Fundamentals of Engineering. Six Sigma Certification. PMP. HVAC Certification. OSHA 30. OSHA 10. AWS D1.1. CAPM. Certified Welding Inspector 
Marketing Coordinator ,"Bachelor in Business Administration (with emphasis in Marketing), Bachelor in Marketing",43098 per year ,"29,000+",A marketing coordinator assists the marketing department of a company in coordinating all of its marketing efforts. The marketing coordinator may assist the director or vice president of marketing completing tasks that help the department reach its marketing goals. A marketing coordinator may have the following responsibilities: ,Create and maintain creatives for marketing materials. Coordinate meetings with marketing partners and executive team members. Update and gather marketing sales and trends reports. Attend team meetings to discuss upcoming sales goals and objectives. Monitor marketing trends and company social media accounts ,Marketing.  Adobe InDesign.  Social Media Management.  WordPress.  Adobe Photoshop.  Constant Contact.  Adobe Creative Suite.  Email Marketing.  Adobe Illustrator.  Graphic Design.  Microsoft Publisher.  MailChimp ,Real Estate License. TIPS. Class E. Local Anesthesia Certification. Medical Laboratory Scientist Certification. PMP. Property & Casualty License. Certified Supply Chain Professional. Real Estate Broker. Google Analytics Certification. Certified Project Manager 
System Administrator ,"Bachelor in Computer Science, Bachelor in Information Systems, Bachelor in Computer Engineering",83620 per year  ,"24,000+",A system administrator is responsible for the configuration upkeep and reliable operation of a company's network and computer systems. In addition to identifying and fixing any network issues they also make updates to the equipment and software to ensure they are current. They may work in office settings for small or large companies or in government organizations. Some of the specific responsibilities that system administrators may have include: ,Providing technical support for software and hardware issues that users encounter. Managing the configuration and operation of computer operating systems. Monitoring the system daily and responding immediately in the event of security or usability concerns. Upgrading systems and processes as necessary for enhanced functionality and security issue resolution. Installing and testing computer-related equipment and reviewing application logs. Responding to and resolving help desk requests and creating and verifying backups of data ,System Administration.  Windows.  VMWare.  Linux.  Microsoft Windows Server.  DNS.  SAN.  Active Directory.  CentOS.  Computer Networking.  Shell Scripting.  Solaris ,RHCSA. CompTIA Security+. IAT. IAT Level II. SSCP. GSEC. CCNA Security. MCSA. MCSE. CompTIA Linux+. CCNA. CompTIA Network+ 
Structural Engineer ,"Bachelor in Civil Engineering, Bachelor in Construction Engineering",83459 per year ,"17,000+",A structural engineer is responsible for designing and constructing physical structures to withstand external pressures. They are concerned with ensuring the integrity of each element of a structure such as beams foundations columns and floors. Their job involves securing the safety of several different types of structures such as buildings bridges tunnels towers and dams. They also improve the integrity of existing structures. Structural engineering is a specialty of civil engineering and people who want to practice structural engineering have to take certification exams. A structural engineering certification licenses them to offer engineering services to the public. Some of their primary duties include:,Preparing building designs and calculating the load and stress that a building can withstand. Using computer-aided software to calculate a building's reaction to weather. Obtaining the regulatory permits for construction of a building. Preparing cost estimates of structures and selecting materials for a building. Supervising building construction and advising project managers. Liaising with other professionals like architects engineers and builders to deliver a project. Managing projects and administering contracts ,AutoCAD.  Revit.  Mathcad.  FEA.  Construction Experience.  CAD.  Project Engineering.  MicroStation.  Technical Writing.  Renovation.  Bluebeam.  Project Leadership ,Professional Engineer. Fundamentals of Engineering. MCSE. LEED Certification. OSHA 10. Physician Assistant License. OSHA 30. MTA. Certified Welding Inspector. ACI Certification. Certified Benefits Professional 
School Nurse ,Bachelor of Nursing,25.82 per hour  ,"35,000+",A school nurse attends to the medical care of students in a primary or secondary school. School nurses keep records of students' height weight vision and hearing exams and any ongoing medical issues or allergies students have. The responsibilities of a school nurse depend on the size of the school and its location. These responsibilities may include: ,Assessing the general health development and growth of school children. Adhering to the state standards for school nurses. Promoting health education to students and their families. Providing first aid to injured students. Administering any prescription medications for students. Providing care and certain necessary procedures for disabled students. Providing disease prevention programs and education. Monitoring the well-being of all students especially those with chronic conditions like asthma diabetes or severe allergies. Advocating for the well-being of children and identifying abusive situations that require the intervention of social services ,Pediatrics Experience.  Tube Feeding.  Medication Administration.  Nursing.  Catheterization.  Public Health.  Experience with Children.  Experience Administering Injections.  Special Education.  Algebra.  Anatomy Knowledge.  Teaching ,RN. LPN. CPR Certification. First Aid Certification. Professional Educator License. AED Certification. LVN. Physician Assistant License. BLS Certification. AHA Certification. Teaching Certification 
Registered Nurse (RN) ,Bachelor of Nursing,33.79 per hour,"39,000+",A registered nurse is a health care professional who assists doctors and other medical professionals with their patient care duties. They also manage and maintain medical records. Other tasks a registered nurse may perform include:,Conducting physical examinations to evaluate patient health issues. Directly administering care to injured sick disabled or recovering patients. Creating and enforcing nursing care plans. Educating patients regarding their medical conditions and the treatment plan they need to follow. Supervising other medical professionals such as other licensed nurses nursing aides and assistants. Ensuring a hygienic and hazard-free working environment. Providing patients and their families with emotional support. Running and analyzing certain medical tests. Helping doctors during medical procedures. Promoting healthy habits for patients and their families ,Medication Administration.  Nursing.  Acute Care.  Hospital Experience.  ICU Experience.  Home Care.  Critical Care Experience.  EMR Systems.  Workers' Compensation Law.  Hospice Care.  Tube Feeding.  Catheterization ,RN. BLS Certification. ACLS Certification. CPR Certification. Compact State Nurse License. PALS Certification. Emergency Nursing Pediatric Course. AHA Certification. TNCC Certification. NRP Certification. LPN. Certified Emergency Nurse 
